"identifiant";"prenom";"nom";"region";"departement";"numero_circonscription";"profession";"groupe_politique_complet";"groupe_politique_abrege"
"1327";"Nicolas";"Forissier";"Centre-Val de Loire";"Indre";"2";"Chef d'entreprise";"Droite Républicaine";"DR"
"719032";"Bertrand";"Bouyx";"Normandie";"Calvados";"5";"Pharmacien";"Horizons & Indépendants";"HOR"
"408578";"Jean-Didier";"Berger";"Ile-de-France";"Hauts-de-Seine";"12";"(37) - Cadre administratif et commercial d'entreprise";"Droite Républicaine";"DR"
"607193";"Sophie";"Errante";"Pays de la Loire";"Loire-Atlantique";"10";"Industriel-Chef d'entreprise";"Non inscrit";"NI"
"841845";"Arnaud";"Saint-Martin";"Ile-de-France";"Seine-et-Marne";"1";"(34) - Professeur, profession scientifique";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"841479";"Frédéric";"Weber";"Grand Est";"Meurthe-et-Moselle";"3";"(43) - Profession intermédiaire de la santé et du travail social";"Rassemblement National";"RN"
"796078";"Estelle";"Youssouffa";"Mayotte";"Mayotte";"1";"Consultante";"Libertés, Indépendants, Outre-mer et Territoires";"LIOT"
"794118";"Antoine";"Vermorel-Marques";"Auvergne-Rhéne-Alpes";"Loire";"5";"Conseiller parlementaire";"Droite Républicaine";"DR"
"331582";"Philippe";"Vigier";"Centre-Val de Loire";"Eure-et-Loir";"4";"Biologiste A.I.H.P.";"Les Démocrates";"Dem"
"842001";"Guillaume";"Bigot";"Bourgogne-Franche-Comté";"Territoire de Belfort";"2";"(35) - Profession de l'information, des arts et des spectacles";"Rassemblement National";"RN"
"341981";"Marie";"Récalde";"Nouvelle-Aquitaine";"Gironde";"6";"Avocate";"Socialistes et apparentés";"SOC"
"722328";"Eliane";"Kremer";"Grand Est";"Bas-Rhin";"7";"retraitée";"Droite Républicaine";"DR"
"841183";"Hanane";"Mansouri";"Auvergne-Rhéne-Alpes";"Isére";"8";"(84) - Eléve, étudiant";"UDR";"UDR"
"841601";"Pauline";"Levasseur";"Hauts-de-France";"Pas-de-Calais";"2";"Collaboratrice parlementaire";"Ensemble pour la République";"EPR"
"841885";"Arnaud";"Bonnet";"Ile-de-France";"Seine-et-Marne";"8";"(34) - Professeur, profession scientifique";"écologiste et Social";"EcoS"
"793780";"Christine";"Arrighi";"Occitanie";"Haute-Garonne";"9";"Ancien cadre";"écologiste et Social";"EcoS"
"720430";"Ugo";"Bernalicis";"Hauts-de-France";"Nord";"2";"Fonctionnaire de catégorie A";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
